subject name,course name,catalog number,credits,term,description,enrollment requirements,quantatative,writing,CA1,CA2,CA3,CA4,CA4INT,TOI1,TOI2,TOI3,TOI4,TOI5,TOI6
Accounting,Internship in Accounting,4881,3.00,Spring 2026,Designed to provide students with an opportunity for a supervised internship. Students will work with one or more professionals in their major academic area. Student performance will be evaluated on the basis of an appraisal by the field supervisor and an appropriate summative activity submitted by the student. Students taking this course will be assigned a final grade of S (satisfactory) or U (unsatisfactory).,"Enrollment Requirements: ACCT 2101 or BADM 2101; ACCT 3201 or BADM 3201, and at least three credits of 3000-level ACCT courses; consent of instructor and department head; open only to Business majors of junior or higher status.",False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Senior Thesis in Accounting,4997W,3.00,Spring 2026,Enrollment Requirements: ENGL 1007 or 1010 or 1011; open only to Accounting Department honors students; open to juniors or higher.,Enrollment Requirements: ENGL 1007 or 1010 or 1011; open only to Accounting Department honors students; open to juniors or higher.,False,True,False,False,False,False,False,False,False,False,False,False,False
Africana Studies,Introduction to Africana Studies,2211,3.00,Spring 2026,"Interdisciplinary overview of Africana studies, giving consideration to the artistic, intellectual, political and cultural experiences of black people in the United States, Caribbean, Europe, and Africa. Significant movements, ideas, people and events that have shaped and continue to shape Africa and the Diaspora.",Enrollment Requirements: May not be taken out of sequence after passing AFRA 4994.,False,False,False,False,False,False,False,False,False,False,False,False,False
Africana Studies,African American Literature,2214W,3.00,Spring 2026,(Also offered as ENGL 2214W.) Critical and historical examination of the literature of African American writers from Phyllis Wheatley to the present. CA 4.,Enrollment Requirements: ENGL 1007 or 1010 or 1011.,False,True,False,False,False,True,False,False,True,True,False,False,False
Africana Studies,"Race, Gender, Sexuality, and the Power of Looking",2222,3.00,Spring 2026,"(Also offered as AAAS 2222, ARTH 2222.) A beginning investigation into the issues of what constitutes visual culture and how race, gender, and sexuality are seen and not seen. The goals of the course include engaging with the history and scholarly dialogues around visual studies, becoming more active and critical visual consumers and critics, and understanding personal stakes and diverse positions in dialogues about visualizing gender and race. CA 1. CA 4.","Enrollment Requirements: Not open for credit to students who have passed ARTH 2198 when offered as ""Race, Gender, and the Power of Looking.""",False,False,True,False,False,True,False,False,True,True,False,False,False
Africana Studies,"Race, Gender, and US Health Care",2461,3.00,Spring 2026,(Also offered as SOCI 2461.) Factors of race and gender at work in U.S health care. Focus on African Americans and Black immigrants as care recipients and care providers in health care institutions. CA 2. CA 4.,Enrollment Requirements: Recommended preparation: AFRA/SOCI 1001.,False,False,False,True,False,True,False,False,False,True,False,True,False
Africana Studies,Ethnicity and Race,2510,3.00,Spring 2026,"(Also offered as SOCI 2510.) Ethnic groups, their interrelations, assimilation, and pluralism. Culture, and identity that arise from differences in race, religion, nationality, region, and language.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Africana Studies,White Racism,2520,3.00,Spring 2026,"(Also offered as SOCI 2520, HRTS 2520.) The origin, nature, and consequences of white racism as a central and enduring social principle around which the United States and other modern societies are structured and evolve. CA 4.",Content Areas: CA4: Diversity & Multicultural,False,False,False,False,False,True,False,False,False,False,False,False,False
Africana Studies,African Americans and Social Protest,2530,3.00,Spring 2026,"(Also offered as SOCI 2530, HRTS 2530.) Social and economic-justice movements, from the beginning of the Civil Rights movement to the present.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Africana Studies,History of Modern Africa,2753,3.00,Spring 2026,"(Also offered as HIST 2753.) The history of African perceptions of and responses to the abolition of the slave trade, Western imperialism and colonialism, and the development of nationalism and struggle for independence. CA 1. CA 4-INT.","Content Areas: CA1: Arts & Humanities, CA4INT: Div & Multi - Intl",False,False,True,False,False,False,True,False,True,True,False,False,False
Africana Studies,Black Psychology,3106,3.00,Spring 2026,"(Also offered as PSYC 3106.) Empirical and theoretical literature on psychological experiences of African Americans. Impact of race, culture, and ethnicity on psychological development. CA 4.",Enrollment Requirements: PSYC 1100; PSYC 1101 or 1103.,False,False,False,False,False,True,False,False,False,True,False,True,False
Africana Studies,Black Experience in the Americas,3206,3.00,Spring 2026,"(Also offered as HIST 3206.) Major themes in recent scholarship of African-descended communities in the Americas and their interconnection beyond geopolitical boundaries; race, gender, sexuality, class, religion, cultural movements and practices, slavery, political economy, political movements, and African consciousness, from historical perspective. CA 1. CA 4-INT.","Enrollment Requirements: Recommended preparation: AFRA 3563/HIST 3563/HRTS 3563; AFRA 3564/HIST 3564, AFRA 3620/HIST 3620; or HIST 3609/LLAS 3609.",False,False,True,False,False,False,True,False,True,True,False,False,False
Africana Studies,Independent Study,3299,1.00 - 6.00,Spring 2026,Supervised reading and writing on a subject of special interest to the student.,Enrollment Requirements: Instructor consent.,False,False,False,False,False,False,False,False,False,False,False,False,False
Africana Studies,"Race, Culture, and Reproductive Health",3320,3.00,Spring 2026,"(Also offered as ANTH 3320.) An examination of the reproductive health experiences of women in the United States, including those focused on sexuality, birth, and motherhood. An exploration of the complex relationship between women’s reproductive experiences and their contemporary racial and socioeconomic locations in American society.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Africana Studies,African American History Since 1865,3564,3.00,Spring 2026,(Also offered as HIST 3564.) History of African American people since the Civil war. Contributions by black people to American development. African American activity in international arenas.,"Content Areas: CA1: Arts & Humanities, CA4: Diversity & Multicultural",False,False,False,False,False,False,False,False,True,True,False,False,False
Africana Studies,African American Womens History,3565,3.00,Spring 2026,"(Also offered as HIST 3565, WGSS 3565.) African American women's history in the United States, including black women's activism and leadership; roles within the larger African Diaspora; engagement in local, national, and international freedom struggles; and redefinitions of identities as wives, mothers, leaders, citizens, and workers. Special attention given to the diversity of black women’s experiences, and to the dominant images of black women in America from Mumbet (the first enslaved woman to sue for her freedom and win) to contemporary issues of race, sex, and class. CA 1. CA 4.","Content Areas: CA1: Arts & Humanities, CA4: Diversity & Multicultural",False,False,True,False,False,True,False,False,True,False,False,False,False
Africana Studies,"Hip Hop, Politics and Youth Culture in America",3568,3.00,Spring 2026,"(Also offered as HIST 3568, AMST 3568, MUSI 3568.) History of hip-hop, its musical antecedents and its role in popular culture. Race, class, and gender are examined as well as hip-hop's role in popular political discourse.","Content Areas: CA1: Arts & Humanities, CA4: Diversity & Multicultural",False,False,False,False,False,False,False,False,True,False,False,True,False
Africana Studies,History of the Caribbean,3619W,3.00,Spring 2026,"(Also offered as HIST 3619W, LLAS 3619W.) Encounter experience; slavery, antislavery mobilization, and abolitionism; colonialism; citizenship and nation building; race and gender; political cultures and movements; migration/immigration; cultural production; and political economy; topics will be examined from a historical perspective. CA 1. CA 4-INT.",Enrollment Requirements: ENGL 1007 or 1010 or 1011.,False,True,True,False,False,False,True,False,True,True,False,False,False
Africana Studies,Variable Topics,3898,3.00,Spring 2026,Enrollment Requirements: Prerequisites and recommended preparation vary.,Enrollment Requirements: Prerequisites and recommended preparation vary.,False,False,False,False,False,False,False,False,False,False,False,False,False
Africana Studies,Senior Seminar,4994W,3.00,Spring 2026,"Critical training and comprehensive examination of African American studies, using primary and secondary sources.",Enrollment Requirements: AFRA 2211; ENGL 1007 or 1010 or 1011; course is required for majors and is generally taken in the senior year.,False,True,False,False,False,False,False,False,False,False,False,False,False
"Agriculture, Health and Natural Resources",Special Topics,3095,1.00,Spring 2026,Enrollment Requirements: Instructor consent.,Enrollment Requirements: Instructor consent.,False,False,False,False,False,False,False,False,False,False,False,False,False
"Agriculture, Health and Natural Resources",Independent Study,3099,1.00 - 6.00,Spring 2026,"A course designed for the student who wishes to pursue an investigation of specific problems related to domestic and foreign agriculture with particular emphasis on current problems in instruction, extension education, and research.",Enrollment Requirements: Open only to students with Independent Study Authorization.,False,False,False,False,False,False,False,False,False,False,False,False,False
"Agriculture, Health and Natural Resources",Introduction to Agricultural Mechanics and Safety,3316,,Spring 2026,"Operation, safety, and applications of equipment and mechanical systems used in agricultural enterprises. Field Trips may be required.","Enrollment Requirements: Open only to students majoring in Agriculture, Health and Natural Resources; Animal Science; Natural Resources; and Sustainable Plant and Soil Systems.",False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,"Population, Food, and the Environment",1110E,3.00,Spring 2026,"The role of agriculture in the growth and development of societies throughout the world. Economic, social, and environmental problems of food production and resource needs in developing and advanced societies. CA 2.",Skill Codes: COMP: Environmental Literacy,False,False,False,True,False,False,False,False,False,False,True,True,False
Agricultural and Resource Economics,Introduction to Data and Visualization,1333Q,3.00,Spring 2026,"The use of Excel tools and commands to organize, analyze, and interpret data and create reports that can be understood by lay audiences in an increasingly data-driven world.",Skill Codes: COMP: Quantitative Competency,True,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Imperfect Competition and Behavioral Economics,2155,3.00,Spring 2026,"Extension of intermediate microeconomic theory to include noncompetitive markets and psychology to consumer behavior. Topics include monopolies and oligopolies (and their welfare implications); game theory (including adverse selection and moral hazard); and behavioral economics (such as time inconsistency, loss aversion, and pro-social preferences). Emphasis will be placed on real-world applications of theory in agriculture, health, natural resources, and the environment.",Enrollment Requirements: ARE 2150 or ECON 2201 or 2211Q.,False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Essentials of Accounting and Business,2210,3.00,Spring 2026,"An analysis of basic business principles, fundamentals and concepts for agribusiness entrepreneurs. Taught with SARE 460.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Business Management,2215,3.00,Spring 2026,"Analysis of marketing, management, and financial decision-making tools in agribusiness.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Environmental and Resource Policy,2434E,3.00,Spring 2026,"Emergence of environmental policies from the local, legal, and regulatory angles. Formalization and structure of environmental policy with a focus on the hurdles, design, and implementation of policy, particularly air and water policy. Suitable for all majors.",Skill Codes: COMP: Environmental Literacy,False,False,False,False,False,False,False,False,False,False,True,False,False
Agricultural and Resource Economics,Writing in Environmental and Resource Policy,2435W,1.00,Spring 2026,A writing intensive course integrated with course content in ARE 2434E.,"Enrollment Requirements: ARE 2434E, which may be taken concurrently; ENGL 1007 or 1010 or 1011; open only to Environmental and Natural Resource Economics, Economics of Sustainable Development and Management, and Applied and Resource Economics majors, others by consent.",False,True,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Managerial Economics and Business Strategies,3221,3.00,Spring 2026,"The application of microeconomic analysis to decision-making techniques of businesses and management units with a particular focus on the food industry covering topics such as electing or developing products, deciding on product output and pricing, organizational design, promotional strategies, worker hiring and training, and investment and financing.","Enrollment Requirements: ARE 1150 or ECON 1200 or ECON 1201; ARE 1333Q or ARE 3333 or equivalent course, which may be taken concurrently. Recommended preparation: MATH 1071Q or 1110Q or 1120Q or 1131Q or 1151Q; or STAT 1000Q or STAT 1100Q.",False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Price Analysis and Futures Trading,3225,3.00,Spring 2026,"Principles and applications of market price determination, with special emphasis on the use of futures markets for profit and price risk management. Includes food and energy case studies, internet applications, and a futures simulation exercise.",Enrollment Requirements: ARE 1150 or ECON 1200 or ECON 1201; STAT 1000Q or 1100Q or equivalent.,False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,"Economic Development, Environment, and Policy",3305E,3.00,Spring 2026,"Integrating the topics of economic development and the environment. Overview of economic development and growth in developed and developing nations. Classical and modern theories of economic growth and measures of economic inequality. Population growth, sustainable economic development, rural-urban interactions, agricultural transformation, and impacts on the environment. The role of education and health, policies for economic development, and climate adaptation.",Enrollment Requirements: ARE 1150 or ECON 1201 or ECON 1200.,False,False,False,False,False,False,False,False,False,False,True,False,False
Agricultural and Resource Economics,Sustainable Business Planning,4215,3.00,Spring 2026,"The practice of creating a sustainable business plan as a critical step for entrepreneurial success. In this class you will learn principles of marketing, financial and human resource management as well as budgeting techniques and the legal and organizational structure of businesses while creating a sustainable business plan.",Enrollment Requirements: ARE 2210 and ARE 2215 or equivalent courses only with instructor's consent. Open to Juniors and Seniors. Not open for credit to students who have passed ARE 5215.,False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Business Finance and Investment Management,4217,3.00,Spring 2026,"Theory and practice of business finance and investment management, including sources of funding, the capital structure of corporations, the actions that managers take to increase the value of the firm, and the tools and analysis used to allocate financial resources. Emphasis on investment decision-making, corporate risk management, capital flow management, and mergers and acquisitions. Use of real-world applications to provide students with a solid background in the economic theory of business finance and investment management in food and resource industries.",Enrollment Requirements: ARE 1150 or ECON 1200 or 1201; open to juniors or higher.,False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Sustainable Economic Development,4305,3.00,Spring 2026,"The role of sustainable economic development of less developed economies. Microeconomic dimensions of agricultural development, food security, agricultural production and supply, foreign assistance, and government programming.",Enrollment Requirements: ARE 1150 or ECON 1200 or ECON 1201; MATH 1071Q or 1110Q or 1120Q or 1126Q or 1131Q. Credit may not be received for both ARE 4305 and 5305.,False,False,False,False,False,False,False,False,False,False,False,False,False
Agricultural and Resource Economics,Environmental and Resource Economics,4462E,3.00,Spring 2026,Natural resource use and environmental quality analysis using economic theory. Reviews of empirical research and relevant policy issues.,Enrollment Requirements: ARE 1150 or ECON 1200 or ECON 1201; MATH 1071Q or 1110 or 1120 or 1126 or 1131Q; open to juniors or higher. Credit may not be received for both ARE 4462 and 5462.,False,False,False,False,False,False,False,False,False,False,True,False,False
Agricultural and Resource Economics,Cost-Benefit Analysis and Applications,4464,3.00,Spring 2026,"Foundations and applications of cost-benefit analysis for evaluation of public policies relevant to environment, protection, health, economic development, and other public policies. Applications include data-driven assignments and analysis.","Enrollment Requirements: ARE 2150, or equivalent course in intermediate microeconomics with instructor consent. Not open for credit to students who have passed ARE 5464.",False,False,False,False,False,False,False,False,False,False,False,False,False
Air Force Studies,Heritage and Values of the United States Air Force,1200,1.00,Spring 2026,"History and evolution of the United States Air Force; overview of the Department of the Air Force, its major commands, and an introduction of the principles and tenets of US airpower during warfare. The two-hour laboratory period is for cadets only.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Air Force Studies,Team and Leadership Fundamentals,2200,1.00,Spring 2026,"Team and leadership fundamentals to include listening, followership, problem solving and conflict management. The two-hour laboratory period is for cadets only.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Air Force Studies,Leading People and Effective Communication,3200,3.00,Spring 2026,Advanced skills and knowledge in management and leadership. Special emphasis on enhancing leadership skills and communication.,Enrollment Requirements: AIRF 3000.,False,False,False,False,False,False,False,False,False,False,False,False,False
Air Force Studies,Aviation Ground School,3500,3.00,Spring 2026,"Fundamentals of flight, flight operations, aviation, weather, navigation, human factors and integration of pilot skills with Federal Aviation Administration (FAA) regulations.  Meets all requirements for the FAA private pilot's written examination.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Air Force Studies,National Security Affairs/Preparation for Active Duty,4200,3.00,Spring 2026,Role of military officers in American society; sophisticated overview of the complex social and political issues facing the military profession.,Enrollment Requirements: AIRF 4000; open only with the consent of instructor.,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Interdisciplinary Approach to Obesity Prevention,1030,3.00,Spring 2026,"(Also offered as NUSC 1030.) Explores the biology of obesity including genetic predispositions and behaviors that increase obesity risk (dietary, physical activity, social, psychological), the obesigenic environment, including how communities are physically built, as well as the economic relationship to obesity risk, and policy and ethical implications for obesity prevention. Multi-level obesity prevention approaches that involve the individual, family, organization, community, and policy. CA 3.",Enrollment Requirements: Open to freshmen and sophomores in the Honors Program.,False,False,False,False,True,False,False,False,False,False,False,False,True
Allied Health Sciences,Introduction to Allied Health Professions,1100,1.00,Spring 2026,"Overview of health professions, team approach to health care delivery.",,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Medical Terminology,2001,2.00,Spring 2026,"Introduction and mastery of medical terminology through presentation of word roots, prefixes and suffixes. Disease processes, symptoms, diagnosis, and treatments that affect various body systems. Terminology associated with disease processes, symptoms, diagnosis, clinical procedures, laboratory tests, and treatments that affect various body systems.",Enrollment Requirements: Open to CAHNR students and following majors: Biological Sciences; Health Care Management; HDFS; MCB; NURS; Pharmacy Studies; PNB; PSYC; SLHS; DGS; MLS and others by instructor consent.,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Honors Seminar: Research and Professionalism,2279,1.00,Spring 2026,"Introduces students to transferable and professional skills, knowledge, practices, and expectations necessary to successfully navigate the undergraduate research process. Exploration of the many research opportunities, resources, and faculty will contribute to developing an engaged community of Honors research scholars",Grading Basis: Honors Credit,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,US Healthcare System and Professional Practice,3000,3.00,Spring 2026,"Essentials of the U.S. healthcare system, its history to present day structure including the role of the government and delivery systems; patient, ethical and legal responsibility; financing and reimbursement structures; and Allied Health professionals' practice within the system.","Enrollment Requirements: Open only to Allied Health Sciences majors juniors and higher, others by consent. Not open to students who have passed NURS 1130.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Biostatistics for Health Professions,3005,3.00,Spring 2026,"(Also offered as STAT 3005.) Introduction to biostatistical techniques, concepts, and reasoning using in a broad range of biomedical and public health related scenarios. Specific topics include description of data, statistical hypothesis testing and its application to group comparisons, and tools for modeling different type of data, including categorical, and time-event, data. Emphasis on the distinction of these methods, their implementation using statistical software, and the interpretation of results applied to health sciences research questions and variables.","Enrollment Requirements: A course in pre-calculus or higher; STAT 1000Q or 1100Q or higher. Open to CAHNR students and Statistics majors, juniors or higher; others with instructor consent. Not open to students who have passed PUBH 5409.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Human Physiology of Health and Disease,3025,3.00,Spring 2026,An overview of the structure and function of the human body in health and common pathologic conditions associated with each organ system. Does not satisfy the anatomy and physiology admission requirements for undergraduate or post-baccalaureate health programs that require anatomy and physiology with lab.,"Enrollment Requirements: BIOL 1107; juniors or higher; open to AH, DGS, Enviro Sci (Human Health conc), Exercise Science, MLSC and Nutritional Sciences majors.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Allied Health Sciences Internship,3091,1.00 - 6.00,Spring 2026,"Provides Allied Health students actual work experience in their area of concentration. Students work with professionals in their concentration to meet objectives consistent with their major. Students may only count a maximum combined credit total of six credits toward the Allied Health major of International Study, Independent Study and Internship credits. Students taking this course will be assigned a final grade of S (satisfactory) or U (unsatisfactory).",Enrollment Requirements: Open to Department of Allied Health Sciences students; open to juniors or higher.,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Health and Wellness for Life,3101,3.00,Spring 2026,"Wellness, holistic health, mind-body connection, health and wellness models, mental wellness, positive self-concept, preventing heart disease and cancer, licit and illicit drugs, stress management, diet, nutrition, weight control, aerobic and anaerobic exercise, healthy lifestyle behaviors, application to life. All students are required to participate in at least one Community Based Outreach Engagement Program.",Enrollment Requirements: BIOL 1103 or 1107 or equivalent; open only to Allied Health Sciences majors juniors or higher; all others by instructor consent. Not open to students who have passed AH 1201.,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Cancer and Your Health,3133,3.00,Spring 2026,"Introduces cancer risk reduction approaches, causes, early detection methods, pathology, treatment, and public education.","Enrollment Requirements: One course in Biology which may be taken concurrently; open to juniors or higher; open only to Allied Health Sciences majors, others by instructor consent.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Psychology of Workplace Safety,3173,3.00,Spring 2026,"Knowledge of the human factors and behaviors that have an impact upon the safety performance of employees in the workplace, and intervention strategies to improve individual and organizational safety performance.","Enrollment Requirements: Open only to BGS students and Allied Health Sciences majors, juniors or higher, and OSH Certificate students; others with consent. Recommended preparation: One 1000-level or above psychology course.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Aging: Implications for Health Professionals,3203,3.00,Spring 2026,"Age-related physiological changes and pathologies, health behaviors and care issues unique to older populations, interdisciplinary approaches to diagnosis, treatment, prevention and health promotion.","Enrollment Requirements: Open to Allied Health Sciences majors, others with instructor consent; open to juniors or higher.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Fitness for Health,3234,3.00,Spring 2026,"Emphasizes preventative health practices, which promote healthful lifestyles and reduce risk factors associated with disease. Designed to provide theory and concepts related to the development and maintenance of physical fitness, general health and performance.","Enrollment Requirements: Open only to Allied Health Sciences majors, others with instructor consent; open to juniors or higher.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Workers Compensation,3278,3.00,Spring 2026,"Review of the application of worker's compensation laws to workplace injuries and illnesses inclusive of the handling of filed claims, available benefits, medical management, return-to-work programs, financial costs, interaction with workplace safety and health programs, and emerging issues.","Enrollment Requirements: Open only to BGS students and Allied Health Sciences majors, juniors or higher, and OSH Certificate students; others with consent.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Research in Allied Health Sciences,3289,1.00 - 3.00,Spring 2026,"Provides students in the department of Allied Health Sciences research experience under the guidance and supervision of a department faculty member; designed to engage a student in inquiry and investigation on a topic of interest. Guidelines, learning agreement, and supporting documentation required. Students may only count a maximum combined credit total of six credits toward the Allied Health major of international study, independent study, internship, and research credits.","Enrollment Requirements: Open only with consent of instructor, advisor, and department head.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Ergonomics,3574,3.00,Spring 2026,Knowledge and skills for achieving optimal relationships between humans and their work environment.,"Enrollment Requirements: Open only to BGS students, Allied Health Sciences, and OSH Certificate students, others with consent; open only to juniors or higher.",False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,EMT Training,4092,4.00,Spring 2026,"Instruction in basic life support skills, treatment of bleeding control and shock recognition, care for trauma victims, medical emergencies. Supervised practice experience and hands-on instruction of theory. Includes two observation experiences outside of classroom instruction. Meets the performance requirements of the National Registry of Emergency Medical Technicians (NREMT) certification exam. Registration for UConn Rescue’s EMT training program required first (separate UConn Rescue costs apply).",Enrollment Requirements: Instructor consent.,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Research Methods in Allied Health,4239,2.00,Spring 2026,"Research questions/hypothesis, finding and using research literature, ethical considerations, research design, sampling, measurement, reliability and validity, descriptive and inferential statistics, computer analysis of data, evaluating research, reviews of literature and proposals.",Enrollment Requirements: A course in statistics; open only to Allied Health Sciences majors; others with instructor consent; open to juniors or higher. Corequisite: AH 4240W. Not open for credit to students who have passed AH 4241.,False,False,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Writing for Allied Health Research,4240W,1.00,Spring 2026,Develop scientific writing skills through completing a scientific research proposal.,Enrollment Requirements: ENGL 1007 or 1010 or 1011; a course in statistics; open only to Allied Health Sciences majors; others with instructor consent; open to juniors or higher. Corequisite: AH 4239. Not open to students who have passed AH 4241W.,False,True,False,False,False,False,False,False,False,False,False,False,False
Allied Health Sciences,Research for the Health Professional,4241,2.00,Spring 2026,"Research questions/hypothesis, finding and using research literature, ethical considerations, research design, sampling, measurement, reliability and validity, descriptive and inferential statistics, computer analysis of data, evaluating research, reviews of literature and proposals.","Enrollment Requirements: A course in statistics; open to juniors or higher; open to Allied Health OEHS concentration majors, Dietetics, DGS, MLS majors, DGS or MLS certificate students (others with consent of instructor). Not open to students who have passed AH 4239.",False,False,False,False,False,False,False,False,False,False,False,False,False
